WKT,municipality,source_class,source_class_secondary,canbics_class,surface_type,width_m,length_km,length
"MULTILINESTRING Z ((-123.119394908989 49.2855539947782 0,-123.119571457809 49.2856685222602 0,-123.119575534328 49.2856711257423 0,-123.119596888781 49.2856845766115 0,-123.11961857405 49.2856977842646 0,-123.119638900264 49.2857096521405 0,-123.11964069866 49.2857107045127 0,-123.119663085322 49.285723377118 0,-123.119685790523 49.2857358469976 0,-123.11969841184 49.2857424498733 0,-123.119708951406 49.28574796379 0,-123.119732287818 49.2857598771049 0,-123.119732336005 49.2857599013419 0,-123.119755945264 49.2857714824475 0,-123.119755997578 49.2857715075797 0,-123.119780016102 49.2857828741711 0,-123.119804307695 49.2857940003033 0,-123.119828931193 49.2858047653797 0,-123.11985379607 49.2858152639435 0,-123.119878993066 49.2858254896036 0,-123.119904419081 49.2858354559597 0,-123.119930177173 49.2858451323209 0,-123.119956056836 49.2858544703317 0,-123.119982267191 49.2858635147508 0,-123.120008698327 49.2858723052707 0,-123.120016250609 49.2858747099322 0,-123.12003537356 49.2858808166807 0,-123.120047721155 49.2858845197592 0,-123.120062266358 49.2858888825976 0,-123.120089385616 49.2858967683693 0,-123.12011662915 49.2859042977967 0,-123.120144186914 49.2859115507392 0,-123.12016919417 49.2859177799784 0,-123.120171830426 49.2859184374824 0,-123.120171870327 49.2859184473356 0,-123.120199665628 49.2859249831026 0,-123.12021376109 49.2859281671227 0,-123.120227801519 49.2859313386052 0,-123.120255941821 49.2859372434381 0,-123.120284298729 49.2859428754851 0,-123.120312766185 49.2859481619954 0,-123.12031280883 49.2859481691471 0,-123.120341458446 49.285953155022 0,-123.120370226875 49.2859578016479 0,-123.120370280525 49.2859578105872 0,-123.120399101735 49.2859621072389 0,-123.121003432457 49.2860495108367 0,-123.12142733081 49.2860895093632 0))",Vancouver,painted lanes,no_buffer,painted_bike_lane,paved,,0.1636,163.500408359954
"MULTILINESTRING Z ((-123.127589416313 49.2801331992212 0,-123.127589471233 49.2801331694765 0,-123.128647047269 49.2794333671984 0))",Vancouver,painted lanes,no_buffer,painted_bike_lane,paved,,0.1094,109.334583517429
"MULTILINESTRING Z ((-123.143700295885 49.2085828318826 0,-123.144175928813 49.2085897952225 0))",Vancouver,painted lanes,paint_buffer_traffic,painted_bike_lane,paved,,0.0347,34.6381642291788
"MULTILINESTRING Z ((-123.073535382632 49.2673698091041 0,-123.073543992378 49.2669153634588 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0505,50.4931269693164
"MULTILINESTRING Z ((-123.13653971358 49.2866263745127 0,-123.137071248426 49.286274215715 0))",Vancouver,protected bike lanes,off_street_bike_path,bike_path,paved,,0.055,54.9784135000543
"MULTILINESTRING Z ((-123.143694396929 49.2898663764089 0,-123.144275216736 49.2894824522863 0,-123.144275244184 49.2894824333622 0))",Vancouver,local street,,local_street_bikeway,paved,,0.06,60.0062400542795
"MULTILINESTRING Z ((-123.196887369881 49.2364715481554 0,-123.196879336243 49.2360470757978 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0472,47.1681219440819
"MULTILINESTRING Z ((-123.0370533538 49.2883377090222 0,-123.037038330915 49.2883128359096 0,-123.0370029746 49.2882542086532 0,-123.036998886715 49.2882474285069 0,-123.036841375255 49.2882168520925 0,-123.036385800403 49.2881738322388 0,-123.036259384225 49.2881618949121 0,-123.036211814693 49.2881574023513 0,-123.036189536291 49.2881578249072 0))",Vancouver,protected bike lanes,off_street_shared_with_pedestrians,multi_use_path,paved,,0.0706,70.5645522044508
"MULTILINESTRING Z ((-123.036189536291 49.2881578249072 0,-123.035700609081 49.2881670935941 0,-123.035040915535 49.2882452539213 0,-123.034249330614 49.2884125467586 0,-123.033640720695 49.2885101737608 0,-123.033619753184 49.2885134271175 0,-123.033393878693 49.2885603619191 0,-123.033370856062 49.2885729141264 0,-123.033302583693 49.2885892312619 0))",Vancouver,protected bike lanes,off_street_shared_with_pedestrians,multi_use_path,paved,,0.2167,216.498320794625
"MULTILINESTRING Z ((-123.110565416662 49.2371669241955 0,-123.110587040722 49.2371651683144 0,-123.111229268072 49.2371130485602 0,-123.111702004487 49.2370746243915 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0834,83.3286829705259
"MULTILINESTRING Z ((-123.120242191191 49.2373929968818 0,-123.120771521167 49.2374114912603 0,-123.120771563757 49.2374114930148 0))",Vancouver,local street,,local_street_bikeway,paved,,0.0386,38.5702976509228
